Unique_No,Marca temporal,What is your gender?,What is your age? ,What is your height?,What_is_your_ape_index,How much do you weight? (In kg),Do you study or work?,What continent do you live in?,In which country do you live or climb at the most?,How often do you visit gyms/crags on states or countries other than the one you live in?,"If you plan a vacation, it is most likely intended as a...",Which describes you the best?,Which describes you the best?,How_many_years_have_you_been_climbing,Is/was any of your parents a climber?,Why do you climb? ,On_average_how_many_days_do_you_climb_in_a_week,How many of those are indoors?,How_many_of_those_do_you_consider_training_sessions?,"In case you train, how do you train?",How long are your training sessions on average?,"In case you train at a gym, what facilities does it include?","In case you climb indoors, do you climb indoors to improve your outdoors climbing, or is indoors climbing an end in itself?","Select the 5 aspects you personally put most of your efforts for improvement, regardless of it being in or out the gym",How tight do you get your climbing shoes?,Do you follow a specific diet?,Do you REGULARLY practice any other sport besides climbing?,What is the first thing you do when you get to the cym/crag?,What_is_your_hardest_indoor_onsight/flash_boulder_grade,What is your hardest indoor projected boulder grade?,What is your hardest outdoor onsight/flash boulder grade?,What is your hardest outdoor projected boulder grade?,flash_confidence,send_confidence,What_grade_do_you_feel_a_80+_confidence_to_say_I_can_most_likely_flash_that? ,What_grade_do_you_feel_a_80+_confidence_to_say_I_can_most_likely_send_that? ,What is the first thing you do when you get to the cym/crag?,How many routes do you normally climb in a day? (#),What is your hardest onsight/flash grade?,What is your hardest redpoint/projected grade?,"What grade do you feel a 80+% confidence to say ""I can most likely onsight/flash that""? ","What grade do you feel a 80+% confidence to say ""I can most likely finish that, even if i fall (no send)""","On your first attempt on a new project/route/problem at or above your current max grade, you normally...","When projecting SPORTS, how many attempts would you have on your projected route on the same day?",Which do you feel is usually your best performance on a project or hard route?,How_do_you_project?,
53,06/02/2020 11:10,Male,26,174,0,64,Work parttime,Center or South America,Mexico,Around twice a year,Mainly climbing trip but something else as well,Outdoor climber,Sports climber,3,No,"Fun of the activity in itself, Health, The places it takes you",3,1,1,Follow a training program by myself,Less than an hour,"Bouldering area, Hang board, campus board, finger board or similar, Gym / weightlifting facilities",I indoor climb to improve my outdoor climbing,"Core strength, Endurance, Route/problem-specific sequences, Trying more/different routes/problems, Flexibility",Tight fit,Other,No,Stretch and warmup (before climbing),V2,V6,V4,V4,V2,V2,V2,V2,Stretch and warmup (before climbing),6,5.11a / 6b+,5.11c / 6c+,5.10d / 6b+,5.11b / 6c,Try to go for the onsight/flash (sports and boulder),Usually 2 attempts per day,2nd attempt of the day,I purposely go to the same crag to keep going at it,
54,06/02/2020 11:45,Male,19,163,3,57,Work parttime,North America,US,Around once per month,Mainly climbing trip but something else as well,Both rather equally,Both rather equally,2,Yes,"Fun of the activity in itself, Health, All besides competing ",3,6,3,Follow a training program by myself,1 to 2 hours,"Hang board, campus board, finger board or similar",I indoor climb to improve my outdoor climbing,"Finger strength, Footwork, Endurance, Route/problem-specific sequences, Trying more/different routes/problems",Tight fit,Vegetarian + fish and/or milk,No,Stretch and warmup (before climbing),V6,V7,V4,V4,V5,V6,V5,V6,Stretch and warmup (before climbing),13,5.11a / 6b+,5.12a / 7a+,5.10c / 6b,5.11c / 6c+,Try to go for the onsight/flash (sports and boulder),Usually 2 attempts per day,2nd attempt of the day,I purposely go to the same crag to keep going at it,
56,06/02/2020 11:59,Female,19,173,0,60,Study and work,Oceania,Australia,Never,Completely non-climbing trip,Indoor climber,Sports climber,1,No,"Fun of the activity in itself, Health, For the social part of climbing, For the challenge",2,2,0,I just climb more,1 to 2 hours,"Bouldering area, Lead climbing area, Top rope area (without autobelay), Top rope area (with autobelay), Hang board, campus board, finger board or similar, Moonboard or similar, Gym / weightlifting facilities",I indoor climb because i like indoor climbing,"Finger strength, Core strength, Endurance, Trying more/different routes/problems, Cardio",Tight fit,Vegetarian,Yes,"Climb easy problems, meant as a warmup",V3,V5,V0,V0,V3,V3,V3,V3,"Climb an easy route, meant as a warmup",20,5.8 / Fr(5) or lower,5.8 / Fr(5) or lower,5.8 / Fr(5) or lower,5.8 / Fr(5) or lower,Try to go for the onsight/flash (sports and boulder),Usually 2 attempts per day,3rd attempt of the day,I purposely go to the same crag to keep going at it,
58,06/02/2020 12:33,Female,24,170,0,60,Study and work,North America,México,Never,Mainly climbing trip but something else as well,Outdoor climber,Sports climber,2,No,Fun of the activity in itself,2,0,0,I do not train,I do not train,"Bouldering area, Lead climbing area, Hang board, campus board, finger board or similar, Gym / weightlifting facilities",I indoor climb because i like indoor climbing,"Core strength, Endurance, Power endurance, Trying more/different routes/problems, Cardio","Very tight, borderline painful, fit","No, I eat anything",Yes,Stretch and warmup (before climbing),V4,V4,V4,V7,V3,V7,V3,V7,Stretch and warmup (before climbing),7,5.11d / 7a,5.12a / 7a+,5.11a / 6b+,5.12c / 7b+,Try to go for the onsight/flash (sports and boulder),Usually 2 attempts per day,Random attempt,I purposely go to the same crag to keep going at it,
60,06/02/2020 13:28,Male,22,170,7,63,Study and work,North America,México,Around twice a year,Completely non-climbing trip,Both rather equally,Both rather equally,4,No,"Fun of the activity in itself, For the social part of climbing, For the challenge",4,3,4,I perform random exercises as they feel appropiate,Less than an hour,"Bouldering area, Lead climbing area, Hang board, campus board, finger board or similar",I indoor climb because i like indoor climbing,"Finger strength, Core strength, Endurance, Power endurance, Explosive power",Tight fit,"No, I eat anything",No,Stretch and warmup (before climbing),V4,V6,V2,V5,V2,V3,V2,V3,Stretch and warmup (before climbing),5,5.10b / 6a+,5.11d / 7a,5.10c / 6b,5.11d / 7a,Try to go for the onsight/flash (sports and boulder),Usually more than 3 attempts per day,Random attempt,I purposely go to the same crag to keep going at it,
67,06/02/2020 17:02,Male,19,168,2,60,Study and work,Asia,Hong Kong,More than once per month,Completely a climbing trip,Outdoor climber,Sports climber,6,Yes,For the challenge,3,2,2,Follow a training program by myself,2 to 3 hours,"Bouldering area, Hang board, campus board, finger board or similar, Moonboard or similar",I indoor climb to improve my outdoor climbing,"Finger strength, Core strength, Endurance, Power endurance, Flexibility",Tight fit,"No, I eat anything",Yes,Stretch and warmup (before climbing),V5,V6,V4,V5,V4,V5,V4,V5,Stretch and warmup (before climbing),3,5.11c / 6c+,5.12b / 7b,5.11a / 6b+,5.11d / 7a,Climb it while resting on every other bolt to explore the moves (sports),Usually 2 attempts per day,3rd attempt of the day,I purposely go to the same crag to keep going at it,
70,06/02/2020 18:32,Male,31,183,7,80,Work fulltime,Asia,Hong Kong,Around once a year,Trip that might have some climbing,Both rather equally,Both rather equally,1,No,"Fun of the activity in itself, For the challenge",3,2,1,I perform random exercises as they feel appropiate,1 to 2 hours,"Bouldering area, Hang board, campus board, finger board or similar, Moonboard or similar",I indoor climb to improve my outdoor climbing,"Finger strength, Core strength, Endurance, Trying more/different routes/problems, Explosive power",Tight fit,"No, I eat anything",No,"Climb easy problems, meant as a warmup",V2,V4,V0,V0,V2,V3,V2,V3,"Climb an easy route, meant as a warmup",2,5.10c / 6b,5.11b / 6c,5.9 / 6a,5.11a / 6b+,Try to go for the onsight/flash (sports and boulder),Usually 2 attempts per day,2nd attempt of the day,I purposely go to the same crag to keep going at it,
73,07/02/2020 00:34,Female,24,162,1,54,Study,North America,México,Around thrice a year,Mainly climbing trip but something else as well,Both rather equally,Sports climber,3,No,"Fun of the activity in itself, Health, For the social part of climbing, The places it takes you, For the challenge",5,3,3,Follow a training program with a coach,2 to 3 hours,"Bouldering area, Hang board, campus board, finger board or similar",I indoor climb to improve my outdoor climbing,"Finger strength, Footwork, Endurance, Power endurance, Trying more/different routes/problems",Tight fit,"No, I eat anything",No,"Climb easy problems, meant as a warmup",V4,V5,V3,V4,V3,V4,V3,V4,"Climb an easy route, meant as a warmup",4,5.11c / 6c+,5.12c / 7b+,5.11b / 6c,5.12c / 7b+,Try to go for the onsight/flash (sports and boulder),Usually 2 attempts per day,1st attempt of the day,I purposely go to the same crag to keep going at it,
77,07/02/2020 04:17,Female,27,158,0,56,Work fulltime,Oceania,Australia ,Around once a year,Mainly climbing trip but something else as well,Both rather equally,Sports climber,6,No,"Fun of the activity in itself, For the challenge",5,2,2,Follow a training program from a book or online course,2 to 3 hours,"Bouldering area, Hang board, campus board, finger board or similar, Moonboard or similar, Gym / weightlifting facilities",I indoor climb to improve my outdoor climbing,"Finger strength, Core strength, Endurance, Power endurance, Route/problem-specific sequences",Tight fit,Vegan,No,Stretch and warmup (before climbing),V4,V6,V3,V5,V3,V5,V3,V5,Stretch and warmup (before climbing),1,5.11b / 6c,5.12a / 7a+,5.11a / 6b+,5.12a / 7a+,Try to go for the onsight/flash (sports and boulder),Usually 3 attempts per day,2nd attempt of the day,I purposely go to the same crag to keep going at it,
84,07/02/2020 07:57,Male,30,184,0,60,Work fulltime,Oceania,Australia,Around every 2 months,Mainly climbing trip but something else as well,Both rather equally,Boulderer,1,No,"Fun of the activity in itself, Health, For the social part of climbing, Competition, The places it takes you, For the challenge",3,3,1,I perform random exercises as they feel appropiate,1 to 2 hours,"Bouldering area, Hang board, campus board, finger board or similar, Moonboard or similar, Gym / weightlifting facilities",I indoor climb because i like indoor climbing,"Finger strength, Footwork, Core strength, Route/problem-specific sequences, Trying more/different routes/problems",Tight fit,"No, I eat anything",No,Stretch and warmup (before climbing),V3,V5,V2,V5,V1,V4,V1,V4,Stretch and warmup (before climbing),1,5.8 / Fr(5) or lower,5.8 / Fr(5) or lower,5.8 / Fr(5) or lower,5.8 / Fr(5) or lower,Try the holds and moves individually first (boulder),Usually 1 one attempt per day,3rd attempt of the day,I purposely go to the same crag to keep going at it,
89,07/02/2020 09:35,Male,22,173,0,62,Study and work,Oceania,Australia,Never,Trip that might have some climbing,Both rather equally,Boulderer,2,No,"Fun of the activity in itself, For the social part of climbing",4,3,3,I perform random exercises as they feel appropiate,1 to 2 hours,"Bouldering area, Hang board, campus board, finger board or similar, Gym / weightlifting facilities",I indoor climb to improve my outdoor climbing,"Finger strength, Footwork, Core strength, Power endurance, Flexibility",Normal fit,Vegan,Yes,"Climb easy problems, meant as a warmup",V4,V5,V0,V0,V3,V4,V3,V4,Stretch and warmup (before climbing),3,5.10c / 6b,5.11b / 6c,5.9 / 6a,5.10a / 6a+,Try to go for the onsight/flash (sports and boulder),Usually 2 attempts per day,2nd attempt of the day,I purposely go to the same crag to keep going at it,
90,07/02/2020 10:20,Male,28,162,0,42,Work fulltime,North America,United States,Around thrice a year,Completely a climbing trip,Outdoor climber,Sports climber,10,No,"Fun of the activity in itself, The places it takes you, For the challenge",6,4,2,Follow a training program by myself,1 to 2 hours,"Bouldering area, Lead climbing area, Top rope area (without autobelay), Top rope area (with autobelay), Hang board, campus board, finger board or similar, Moonboard or similar, Gym / weightlifting facilities",I indoor climb to improve my outdoor climbing,"Finger strength, Core strength, Endurance, Power endurance, Trying more/different routes/problems",Normal fit,Vegetarian,No,"Climb easy problems, meant as a warmup",V5,V7,V4,V5,V3,V4,V3,V4,"Climb an easy route, meant as a warmup",5,5.11a / 6b+,5.11d / 7a,5.10d / 6b+,5.12c / 7b+,Try to go for the onsight/flash (sports and boulder),Usually 3 attempts per day,2nd attempt of the day,I purposely go to the same crag to keep going at it,
92,07/02/2020 10:26,Male,35,177,-1,70,Work fulltime,Oceania,Australia,Around thrice a year,Trip that might have some climbing,Both rather equally,Boulderer,1,No,"Fun of the activity in itself, Health, For the social part of climbing, The places it takes you, For the challenge",4,3,0,I do not train,I do not train,,I indoor climb because i like indoor climbing,"Finger strength, Core strength, Endurance, Route/problem-specific sequences, Trying more/different routes/problems",Tight fit,Vegan,Yes,"Climb easy problems, meant as a warmup",V5,V7,V5,V7,V4,V6,V4,V6,"Climb an easy route, meant as a warmup",30,5.12a / 7a+,5.12b / 7b,5.11c / 6c+,5.12b / 7b,Try to go for the onsight/flash (sports and boulder),Usually 3 attempts per day,Random attempt,I purposely go to the same crag to keep going at it,
94,07/02/2020 12:24,Male,37,179,0,85,Study and work,Europe,Bassersdorf,Around once a year,Trip that might have some climbing,Both rather equally,Both rather equally,2,No,"Fun of the activity in itself, Health, For the social part of climbing, For the challenge",1,1,1,Follow a training program by myself,2 to 3 hours,"Bouldering area, Lead climbing area, Top rope area (without autobelay), Top rope area (with autobelay), Gym / weightlifting facilities",I indoor climb to improve my outdoor climbing,"Finger strength, Footwork, Route/problem-specific sequences, Trying more/different routes/problems, Flexibility",Tight fit,"No, I eat anything",Yes,Stretch and warmup (before climbing),V6,V7,V5,V6,V5,V5,V5,V5,Stretch and warmup (before climbing),5,5.10d / 6b+,5.11b / 6c,5.10c / 6b,5.11c / 6c+,Try to go for the onsight/flash (sports and boulder),Usually more than 3 attempts per day,Random attempt,I purposely go to the same crag to keep going at it,
96,07/02/2020 12:28,Female,23,168,2,59,Work fulltime,Asia,Hong Kong,Around twice a year,Mainly climbing trip but something else as well,Both rather equally,Sports climber,4,Yes,"Fun of the activity in itself, Health, For the social part of climbing, The outdoors",3,1,1,Follow a training program by myself,Less than an hour,"Bouldering area, Lead climbing area, Hang board, campus board, finger board or similar, Moonboard or similar",I indoor climb to improve my outdoor climbing,"Finger strength, Core strength, Endurance, Route/problem-specific sequences, Trying more/different routes/problems",Tight fit,"No, I eat anything",No,"Climb easy problems, meant as a warmup",V3,V4,V3,V4,V2,V3,V2,V3,"Climb an easy route, meant as a warmup",4,5.10c / 6b,5.11c / 6c+,5.10b / 6a+,5.11a / 6b+,Top-rope it first (sports),Usually 2 attempts per day,2nd attempt of the day,I purposely go to the same crag to keep going at it,
99,07/02/2020 13:10,Female,30,163,0,56,Work fulltime,Europe,Germany,Around once a year,Mainly climbing trip but something else as well,Indoor climber,Sports climber,10,No,"Fun of the activity in itself, Health, For the social part of climbing, Competition, The places it takes you, For the challenge",2,2,2,I perform random exercises as they feel appropiate,1 to 2 hours,"Bouldering area, Lead climbing area, Top rope area (with autobelay)",I indoor climb because i like indoor climbing,"Finger strength, Footwork, Route/problem-specific sequences, Trying more/different routes/problems, Cardio",Tight fit,Vegetarian,Yes,Stretch and warmup (before climbing),V7,V4,V5,V0,V6,V6,V6,V6,Stretch and warmup (before climbing),6,5.11b / 6c,5.11b / 6c,5.10b / 6a+,5.10a / 6a+,Try the holds and moves individually first (boulder),Usually 3 attempts per day,2nd attempt of the day,I purposely go to the same crag to keep going at it,
105,07/02/2020 16:32,Male,42,183,0,72,Work fulltime,Europe,Germany,More than once per month,Trip that might have some climbing,Both rather equally,Sports climber,20,No,"Fun of the activity in itself, Health, For the social part of climbing, The places it takes you, For the challenge",3,3,3,Follow a training program by myself,2 to 3 hours,"Bouldering area, Lead climbing area, Top rope area (without autobelay), Hang board, campus board, finger board or similar",I indoor climb to improve my outdoor climbing,"Finger strength, Footwork, Core strength, Route/problem-specific sequences, Trying more/different routes/problems",Tight fit,Other,Yes,Stretch and warmup (before climbing),V6,V8,V5,V7,V6,V7,V6,V7,Stretch and warmup (before climbing),6,5.11c / 6c+,5.12c / 7b+,5.11c / 6c+,5.12b / 7b,Climb it while resting on every other bolt to explore the moves (sports),Usually 3 attempts per day,3rd attempt of the day,I purposely go to the same crag to keep going at it,
111,07/02/2020 19:45,Male,58,175,0,70,Work fulltime,Oceania,Australia,Around once a year,Trip that might have some climbing,Outdoor climber,Sports climber,12,No,Fun of the activity in itself,1,0,0,I just climb more,I do not train,Top rope area (without autobelay),I indoor climb to improve my outdoor climbing,"Finger strength, Core strength, Endurance, Route/problem-specific sequences, Trying more/different routes/problems",Normal fit,"No, I eat anything",No,Jump straight into the hard stuff,V3,V4,V2,V4,V1,V0,V1,V0,Jump straight into the hard stuff,4,5.10d / 6b+,5.11c / 6c+,5.10b / 6a+,5.10c / 6b,Top-rope it first (sports),Usually 3 attempts per day,2nd attempt of the day,I purposely go to the same crag to keep going at it,
114,07/02/2020 21:57,Male,38,182,0,70,Work fulltime,North America,Mexico,More than once per month,Trip that might have some climbing,Outdoor climber,Sports climber,12,No,"Fun of the activity in itself, The places it takes you, For the challenge",3,1,0,I do not train,I do not train,Bouldering area,I indoor climb because i like indoor climbing,"Finger strength, Core strength, Endurance, Power endurance, Explosive power","Very tight, borderline painful, fit","No, I eat anything",Yes,Stretch and warmup (before climbing),V5,V7,V5,V7,V3,V5,V3,V5,Stretch and warmup (before climbing),6,5.10a / 6a+,5.11d / 7a,5.10c / 6b,5.11b / 6c,Climb it while resting on every other bolt to explore the moves (sports),Usually more than 3 attempts per day,2nd attempt of the day,I purposely go to the same crag to keep going at it,
115,08/02/2020 01:05,Male,21,181,0,72,Study,North America,México,Around twice a year,Trip that might have some climbing,Outdoor climber,Sports climber,2,No,"Fun of the activity in itself, Health, For the social part of climbing, The places it takes you, For the challenge",4,2,2,Follow a training program with a coach,2 to 3 hours,"Bouldering area, Lead climbing area, Hang board, campus board, finger board or similar, Gym / weightlifting facilities",I indoor climb to improve my outdoor climbing,"Finger strength, Footwork, Core strength, Endurance, Flexibility",Normal fit,"No, I eat anything",No,"Climb easy problems, meant as a warmup",V2,V4,V3,V6,V2,V7,V2,V7,"Climb an easy route, meant as a warmup",3,5.10c / 6b,5.11c / 6c+,5.10d / 6b+,5.12c / 7b+,Try to go for the onsight/flash (sports and boulder),Usually more than 3 attempts per day,Random attempt,I purposely go to the same crag to keep going at it,
134,08/02/2020 20:34,Female,19,164,0,60,Study,Europe,England,Around once a year,Mainly climbing trip but something else as well,Indoor climber,Boulderer,8,No,"Fun of the activity in itself, Health, For the social part of climbing, Competition, The places it takes you, For the challenge",4,4,3,Follow a training program by myself,2 to 3 hours,"Bouldering area, Hang board, campus board, finger board or similar, Moonboard or similar, Gym / weightlifting facilities",I indoor climb because i like indoor climbing,"Finger strength, Core strength, Trying more/different routes/problems, Cardio, Explosive power",Normal fit,Vegetarian + fish and/or milk,Yes,Stretch and warmup (before climbing),V7,V8,V4,V7,V5,V6,V5,V6,Stretch and warmup (before climbing),10,5.12d / 7c,5.13a / 7c+,5.11d / 7a,5.13a / 7c+,Try to go for the onsight/flash (sports and boulder),Usually 2 attempts per day,Random attempt,I purposely go to the same crag to keep going at it,
138,09/02/2020 04:29,Female,20,160,0,51,Study,Asia,Singapore,Around twice a year,Mainly climbing trip but something else as well,Indoor climber,Both rather equally,2,No,"Fun of the activity in itself, Health, For the social part of climbing, The places it takes you, For the challenge, Feeling of self improvement",2,2,0,I do not train,2 to 3 hours,"Bouldering area, Lead climbing area, Top rope area (without autobelay), Top rope area (with autobelay), Hang board, campus board, finger board or similar, Moonboard or similar",I indoor climb because i like indoor climbing,"Finger strength, Core strength, Endurance, Trying more/different routes/problems, Flexibility",Tight fit,"No, I eat anything",No,"Climb easy problems, meant as a warmup",V3,V5,V2,V3,V2,V4,V2,V4,"Climb an easy route, meant as a warmup",4,5.8 / Fr(5) or lower,5.10a / 6a+,5.8 / Fr(5) or lower,5.9 / 6a,Try to go for the onsight/flash (sports and boulder),Usually 2 attempts per day,2nd attempt of the day,I purposely go to the same crag to keep going at it,
147,09/02/2020 22:37,Male,19,193,5,69,Study,Europe,UK,Around thrice a year,Completely a climbing trip,Indoor climber,Both rather equally,1.6,No,"Fun of the activity in itself, Health, For the challenge, Mental health",3,3,1,Follow a training program by myself,More than 3 hours,"Bouldering area, Lead climbing area, Top rope area (with autobelay), Hang board, campus board, finger board or similar, Moonboard or similar, Gym / weightlifting facilities",I indoor climb to improve my outdoor climbing,"Finger strength, Footwork, Power endurance, Route/problem-specific sequences, Trying more/different routes/problems",Tight fit,"No, I eat anything",No,Stretch and warmup (before climbing),V5,V8,V0,V0,V3,V5,V3,V5,Stretch and warmup (before climbing),5,5.11a / 6b+,5.11d / 7a,5.10c / 6b,5.11b / 6c,Try the holds and moves individually first (boulder),Usually 3 attempts per day,Random attempt,I purposely go to the same crag to keep going at it,
149,10/02/2020 00:37,Female,15,164,0,52,Study,Asia,United Arab Emirates,Around twice a year,Trip that might have some climbing,Both rather equally,Sports climber,5,No,The places it takes you,3,2,2,I perform random exercises as they feel appropiate,1 to 2 hours,"Bouldering area, Lead climbing area, Top rope area (without autobelay), Top rope area (with autobelay), Hang board, campus board, finger board or similar",I indoor climb to improve my outdoor climbing,"Finger strength, Power endurance, Route/problem-specific sequences, Trying more/different routes/problems, Explosive power",Normal fit,"No, I eat anything",Yes,Stretch and warmup (before climbing),V6,V7,V5,V7,V5,V7,V5,V7,Stretch and warmup (before climbing),25,5.12b / 7b,5.12c / 7b+,5.11c / 6c+,5.12a / 7a+,Try to go for the onsight/flash (sports and boulder),Usually more than 3 attempts per day,1st attempt of the day,I purposely go to the same crag to keep going at it,
150,10/02/2020 01:43,Male,20,182.88,0,75,Work fulltime,Asia,UAE,Around every 2 months,Trip that might have some climbing,Both rather equally,Both rather equally,2,No,"Fun of the activity in itself, For the social part of climbing, For the challenge",4,2,0,I just climb more,I do not train,Bouldering area,I indoor climb to improve my outdoor climbing,"Finger strength, Endurance, Power endurance, Route/problem-specific sequences, Trying more/different routes/problems","Very tight, borderline painful, fit","No, I eat anything",No,"Climb easy problems, meant as a warmup",V4,V7,V3,V5,V3,V5,V3,V5,"Climb an easy route, meant as a warmup",4,5.11d / 7a,5.12a / 7a+,5.11a / 6b+,5.11d / 7a,Try to go for the onsight/flash (sports and boulder),Usually 3 attempts per day,1st attempt of the day,I purposely go to the same crag to keep going at it,
154,10/02/2020 07:29,Female,21,165,0,68,Study and work,Oceania,Australia,Around once a year,Completely non-climbing trip,Both rather equally,Both rather equally,1.5,No,"Fun of the activity in itself, Health, For the social part of climbing, The places it takes you, For the challenge",2,2,2,I just climb more,I do not train,"Bouldering area, Lead climbing area, Top rope area (without autobelay), Top rope area (with autobelay)",I indoor climb to improve my outdoor climbing,"Finger strength, Endurance, Power endurance, Route/problem-specific sequences, Trying more/different routes/problems",Tight fit,"No, I eat anything",Yes,Stretch and warmup (before climbing),V4,V5,V2,V4,V3,V4,V3,V4,Stretch and warmup (before climbing),4,5.9 / 6a,5.10c / 6b,5.9 / 6a,5.10c / 6b,Top-rope it first (sports),Usually 1 one attempt per day,2nd attempt of the day,I purposely go to the same crag to keep going at it,
3,05/02/2020 20:36,Male,28,180,0,67,Work fulltime,Asia,Hong Kong,Around once a year,Trip that might have some climbing,Both rather equally,Both rather equally,5,No,The places it takes you,2,1,1,I perform random exercises as they feel appropiate,2 to 3 hours,"Bouldering area, Lead climbing area, Tope rope area (without autobelay), Top rope area (with autobelay), Hang board, campus board, finger board or similar, Moonboard or similar",I indoor climb to improve my outdoor climbing,"Finger strength, Footwork, Endurance, Power endurance, Cardio","Very tight, borderline painful, fit","No, I eat anything",Yes,Stretch and warmup (before climbing),V4,V6,V2,V3,V2,V3,V2,V3,Stretch and warmup (before climbing),4,5.10d / 6b+,5.11b / 6c,5.9 / 6a,5.10b / 6a+,Try to go for the onsight/flash (sports and boulder),Usually 3 attempts per day,2nd attempt of the day,I would simply work on it whenever I happen to be there again,
9,05/02/2020 22:46,Female,32,155,1,40,Study and work,Asia,Hk,Around every 2 months,Completely a climbing trip,Both rather equally,Boulderer,6,No,Fun of the activity in itself,5,4,2,Follow a training program by myself,Less than an hour,"Bouldering area, Lead climbing area",I indoor climb because i like indoor climbing,"Finger strength, Footwork, Core strenght, Endurance, Cardio","""Comfy fit""","No, I eat anything",No,Jump straight into the hard stuff,V5,V6,V5,V5,V4,V4,V4,V4,Jump straight into the hard stuff,4,5.11b / 6c,5.11b / 6c,5.10d / 6b+,5.11a / 6b+,Try to go for the onsight/flash (sports and boulder),Usually 2 attempts per day,1st attempt of the day,I would simply work on it whenever I happen to be there again,
10,05/02/2020 23:15,Male,25,168,0,64,Study,North America,Mexico ,Around thrice a year,Mainly climbing trip but something else as well,Outdoor climber,Sports climber,4,No,"Fun of the activity in itself, The places it takes you",5,3,3,Follow a training program from a book or online course,2 to 3 hours,"Bouldering area, Lead climbing area, Hang board, campus board, finger board or similar, Moonboard or similar, Gym / weightlifting facilities",I indoor climb to improve my outdoor climbing,"Footwork, Core strenght, Endurance, Power endurance, Explosive power",Tight fit,Other,Yes,Stretch and warmup (before climbing),V5,V7,V4,V6,V3,V6,V3,V6,Stretch and warmup (before climbing),5,5.11d / 7a,5.13a / 7c+,5.11c / 6c+,5.13b / 8a,Climb it while resting on every other bolt to explore the moves (sports),Usually more than 3 attempts per day,3rd attempt of the day,I would simply work on it whenever I happen to be there again,
12,05/02/2020 23:18,Female,19,163,7,56,Study,Center or South America,México,Around twice a year,Completely a climbing trip,Both rather equally,Both rather equally,1.5,No,"Fun of the activity in itself, For the challenge",6,4,4,Follow a training program with a coach,2 to 3 hours,"Bouldering area, Hang board, campus board, finger board or similar, Gym / weightlifting facilities",I indoor climb because i like indoor climbing,"Finger strength, Footwork, Endurance, Power endurance, Cardio",Tight fit,"No, I eat anything",No,"Climb easy problems, meant as a warmup",V5,V7,V2,V6,V4,V6,V4,V6,"Climb an easy route, meant as a warmup",3,5.10c / 6b,5.11d / 7a,5.11b / 6c,5.12b / 7b,Try to go for the onsight/flash (sports and boulder),Usually 1 one attempt per day,2nd attempt of the day,I would simply work on it whenever I happen to be there again,
18,05/02/2020 23:38,Male,36,178,7,75,Work fulltime,North America,USA,Around every 2 months,Completely non-climbing trip,Both rather equally,Both rather equally,12,No,"Fun of the activity in itself, Health, For the social part of climbing, The places it takes you, For the challenge",4,2,2,Follow a training program from a book or online course,2 to 3 hours,"Bouldering area, Lead climbing area, Tope rope area (without autobelay), Top rope area (with autobelay), Hang board, campus board, finger board or similar, Moonboard or similar, Gym / weightlifting facilities",I indoor climb to improve my outdoor climbing,"Finger strength, Core strenght, Endurance, Power endurance, Explosive power",Tight fit,Other,No,"Climb easy problems, meant as a warmup",V9,V10,V6,V8,V6,V8,V6,V8,"Climb an easy route, meant as a warmup",15,5.11d / 7a,5.12c / 7b+,5.11c / 6c+,5.13a / 7c+,Try to go for the onsight/flash (sports and boulder),Usually more than 3 attempts per day,Random attempt,I would simply work on it whenever I happen to be there again,
21,05/02/2020 23:43,Male,24,180,0,71,Work fulltime,North America,Mexico,Around twice a year,Trip that might have some climbing,Outdoor climber,Sports climber,1.5,Yes,Fun of the activity in itself,4,3,3,Follow a training program by myself,1 to 2 hours,Lead climbing area,I indoor climb to improve my outdoor climbing,"Footwork, Core strenght, Endurance, Trying more/different routes/problems, Flexibility",Tight fit,Vegetarian + fish and/or milk,Yes,Stretch and warmup (before climbing),V3,V4,V1,V2,V2,V2,V2,V2,Stretch and warmup (before climbing),4,5.11c / 6c+,5.11c / 6c+,5.10d / 6b+,5.11b / 6c,Try to go for the onsight/flash (sports and boulder),Usually 1 one attempt per day,2nd attempt of the day,I would simply work on it whenever I happen to be there again,
23,05/02/2020 23:47,Female,33,168,0,60,Work parttime,Europe,Switzerland,Around thrice a year,Mainly climbing trip but something else as well,Both rather equally,Sports climber,5,No,"Fun of the activity in itself, For the social part of climbing, The places it takes you, For the challenge",2,1,0,I perform random exercises as they feel appropiate,Less than an hour,,I indoor climb to improve my outdoor climbing,"Core strenght, Endurance, Route/problem-specific sequences, Trying more/different routes/problems, Flexibility",Normal fit,Vegetarian + fish and/or milk,Yes,"Climb easy problems, meant as a warmup",V0,V0,V0,V0,V0,V0,V0,V0,"Climb an easy route, meant as a warmup",10,5.10a / 6a+,5.11c / 6c+,5.8 / Fr(5) or lower,5.10b / 6a+,Climb it while resting on every other bolt to explore the moves (sports),Usually 3 attempts per day,Random attempt,I would simply work on it whenever I happen to be there again,
